Timestamp,Reg1,Reg2,Reg3,Reg4,Reg5,Reg6,Reg7,Reg8
6961,0,0,65536,0,11337808,0,262812151,0
15472,0,0,65536,0,11337808,0,262812151,0
27213,0,0,65536,0,11337728,0,262807178,0
35888,0,0,0,0,0,0,3144556170,0
51122,0,0,0,0,0,0,3144556170,0
56718,0,0,0,0,0,0,3144556170,0
66221,0,0,65536,0,68,0,174993459,0
76382,0,0,65536,0,68,0,174993459,0
87366,0,0,65536,0,68,0,174993459,0
96704,0,0,65536,0,11,0,41300314,0
111274,0,0,65536,0,11,0,41300314,0
118467,0,0,65536,0,11,0,41300314,0
128079,0,0,65536,0,24,0,3281199779,0
138283,0,0,0,0,24,0,3281199779,0
149665,0,0,0,0,24,0,3281199779,0
158644,0,0,0,0,21,0,3281203193,0
168751,0,0,65536,0,11796501,0,140521465,0
180647,0,0,65536,0,11796501,0,140521465,0
189848,0,0,65536,0,11796501,0,140521465,0
199375,0,0,0,0,20512819,0,4094504869,0
213062,0,0,0,0,20512819,0,4094504869,0
220403,0,0,0,0,20512819,0,4094504869,0
230526,0,0,0,0,0,0,3291422831,0
241549,0,0,0,0,0,0,3291422831,0
256391,0,0,0,0,0,0,3291422831,0
261004,0,0,0,0,31,0,239677499,0
273346,0,0,65536,0,16646175,0,239677499,0
283967,0,0,65536,0,16646175,0,239677499,0
291536,0,0,65536,0,16646215,0,239676963,0
302517,0,0,0,0,10223687,0,3997380131,0
314468,0,0,0,0,10223687,0,3997380131,0
323334,0,0,0,0,10223669,0,3997377755,0
333443,0,0,0,0,36175925,0,3431343323,0
343625,0,0,0,0,36175925,0,3431343323,0
358901,0,0,0,0,36175925,0,3431343323,0
364570,0,0,65536,0,20578373,0,266416157,0
374124,0,0,65536,0,20578373,0,266416157,0
384283,0,0,65536,0,20578373,0,266416157,0
394392,0,0,65536,0,2,0,3521063348,0
405157,0,0,0,0,2,0,3521063348,0
418279,0,0,0,0,2,0,3521063348,0
425696,0,0,0,0,99,0,3521061371,0
435528,0,0,0,0,30474339,0,3901956603,0
447261,0,0,0,0,30474339,0,3901956603,0
455862,0,0,0,0,30474240,0,3901960494,0
466222,0,0,65536,0,0,0,229388590,0
477713,0,0,65536,0,0,0,229388590,0
487047,0,0,65536,0,0,0,229388590,0
496426,0,0,0,0,11272370,0,3295421547,0
508038,0,0,0,0,11272370,0,3295421547,0
519100,0,0,0,0,11272370,0,3295421547,0
528397,0,0,65536,0,5505030,0,99036130,0
546054,0,0,65536,0,5505030,0,99036130,0
548223,0,0,65536,0,5505030,0,99036130,0
561029,0,0,65536,0,5505093,0,99037427,0
568313,0,0,65536,0,1441861,0,215298291,0
581547,0,0,65536,0,1441861,0,215298291,0
593005,0,0,65536,0,1441805,0,215294114,0
604836,0,0,0,0,13,0,2958827682,0
610189,0,0,0,0,13,0,2958827682,0
622483,0,0,0,0,13,0,2958827682,0
630721,0,0,65536,0,3604654,0,246362024,0
648220,0,0,65536,0,3604654,0,246362024,0
651876,0,0,65536,0,3604654,0,246362024,0
671681,0,0,65536,0,11141141,0,251474226,0
671815,0,0,65536,0,11141141,0,251474226,0
683203,0,0,65536,0,11141141,0,251474226,0
690988,0,0,65536,0,11141262,0,2778799833,0
701084,0,0,0,0,142,0,2778799833,0
711268,0,0,0,0,142,0,2778799833,0
724332,0,0,0,0,0,0,2778804488,0
732297,0,0,65536,0,11206656,0,198914312,0
742438,0,0,65536,0,11206656,0,198914312,0
752619,0,0,65536,0,11206656,0,198914170,0
768515,0,0,65536,0,67633215,0,311439482,0
775743,0,0,65536,0,67633215,0,311439482,0
784134,0,0,65536,0,67633215,0,311439482,0
794124,0,0,0,0,0,0,2805406778,0
803486,0,0,0,0,0,0,2805406778,0
813619,0,0,0,0,0,0,2805406778,0
827531,0,0,0,0,27721901,0,103231755,0
834808,0,0,65536,0,27721901,0,103231755,0
844936,0,0,65536,0,27721901,0,103231755,0
855116,0,0,65536,0,27721801,0,103231007,0
870811,0,0,65536,0,36110409,0,237121055,0
878171,0,0,65536,0,36110409,0,237121055,0
886171,0,0,65536,0,36110409,0,237116826,0
895662,0,0,0,0,6094848,0,3310886298,0
907434,0,0,0,0,6094848,0,3310886298,0
915900,0,0,0,0,6094848,0,3310886298,0
927025,0,0,65536,0,4194434,0,213463151,0
937885,0,0,65536,0,4194434,0,213463151,0
948025,0,0,65536,0,4194434,0,213463151,0
957499,0,0,65536,0,6881368,0,4194512775,0
976278,0,0,0,0,6881368,0,4194512775,0
978268,0,0,0,0,6881368,0,4194512775,0
990142,0,0,0,0,6881402,0,4194509487,0
997940,0,0,0,0,2556026,0,3241353903,0
1008049,0,0,0,0,2556026,0,3241353903,0
1019100,0,0,0,0,2556026,0,3241357401,0
1030790,0,0,65536,0,38273189,0,276050009,0
1050135,0,0,65536,0,38273189,0,276050009,0
1050287,0,0,65536,0,38273189,0,276050009,0
1059650,0,0,0,0,2883806,0,3894095272,0
1076508,0,0,0,0,2883806,0,3894095272,0
1082065,0,0,0,0,2883806,0,3894095272,0
1090228,0,0,0,0,41549824,0,3359121810,0
1100458,0,0,0,0,41549824,0,3359121810,0
1110371,0,0,0,0,41549824,0,3359121810,0
1120980,0,0,0,0,41549862,0,3359125725,0
1133288,0,0,65536,0,13565990,0,275263709,0
1142987,0,0,65536,0,13565990,0,275263709,0
1152603,0,0,65536,0,13565977,0,275262597,0
1162251,0,0,0,0,5308441,0,3858967685,0
1178689,0,0,0,0,5308441,0,3858967685,0
1183851,0,0,0,0,5308441,0,3858967685,0
1193550,0,0,0,0,57606197,0,3453559857,0
1202901,0,0,0,0,57606197,0,3453559857,0
1215558,0,0,0,0,57606197,0,3453559857,0
1223192,0,0,65536,0,0,0,108081162,0
1235829,0,0,65536,0,0,0,108081162,0
1244284,0,0,65536,0,0,0,108081162,0
1255536,0,0,65536,0,5,0,3442288035,0
1265537,0,0,0,0,48889861,0,3442288035,0
1280995,0,0,0,0,48889861,0,3442288035,0
1284824,0,0,0,0,48889919,0,3442288231,0
1295126,0,0,0,0,9371711,0,3911657063,0
1305305,0,0,0,0,9371711,0,3911657063,0
1315369,0,0,0,0,9371711,0,3911657063,0
1331413,0,0,65536,0,23,0,43397160,0
1338216,0,0,65536,0,23,0,43397160,0
1346557,0,0,65536,0,23,0,43397160,0
1356820,0,0,0,0,0,0,3223790502,0
1367000,0,0,0,0,0,0,3223790502,0
1381424,0,0,0,0,0,0,3223790502,0
1388266,0,0,0,0,13631558,0,15871205,0
1397465,0,0,65536,0,13631558,0,15871205,0
1409371,0,0,65536,0,13631558,0,15871205,0
1417877,0,0,65536,0,13631574,0,15872145,0
1428068,0,0,65536,0,28115030,0,177156241,0
1439004,0,0,65536,0,28115030,0,177156241,0
1463607,0,0,65536,0,28114958,0,177152227,0
1463773,0,0,0,0,458766,0,2902139107,0
1469711,0,0,0,0,458766,0,2902139107,0
1482090,0,0,0,0,458766,0,2902139107,0
1489796,0,0,65536,0,8847360,0,57225331,0
1500856,0,0,65536,0,8847360,0,57225331,0
1510147,0,0,65536,0,8847360,0,57225331,0
1520349,0,0,65536,0,5111808,0,96415747,0
1530564,0,0,65536,0,5111808,0,96415747,0
1543059,0,0,65536,0,5111808,0,96415747,0
1557609,0,0,65536,0,5111808,0,2786008817,0
1562905,0,0,0,0,0,0,2786008817,0
1572064,0,0,0,0,0,0,2786008817,0
1601102,0,0,0,0,19,0,2786013009,0
1601229,0,0,65536,0,20250643,0,51916625,0
1604784,0,0,65536,0,20250643,0,51916625,0
1612632,0,0,65536,0,20250643,0,51916625,0
1633872,0,0,65536,0,26017823,0,223818332,0
1634010,0,0,65536,0,26017823,0,223818332,0
1672992,0,0,65536,0,26017823,0,223818332,0
1673119,0,0,0,0,0,0,2793151523,0
1673162,0,0,0,0,0,0,2793151523,0
1674058,0,0,0,0,0,0,2793151523,0
1690465,0,0,0,0,182,0,114307040,0
1697579,0,0,65536,0,27263158,0,114307040,0
1705332,0,0,65536,0,27263158,0,114307040,0
1714842,0,0,65536,0,27262980,0,114307211,0
1725729,0,0,65536,0,31719428,0,139866251,0
1736056,0,0,65536,0,31719428,0,139866251,0
1748643,0,0,65536,0,31719428,0,139861402,0
1757777,0,0,0,0,0,0,3279101338,0
1766580,0,0,0,0,0,0,3279101338,0
1777535,0,0,0,0,0,0,3279101338,0
1792457,0,0,65536,0,20775121,0,136261749,0
1798334,0,0,65536,0,20775121,0,136261749,0
1810625,0,0,65536,0,20775121,0,136261749,0
1817200,0,0,65536,0,20774912,0,4166921989,0
1827463,0,0,0,0,13828096,0,4166921989,0
1837832,0,0,0,0,13828096,0,4166921989,0
1849304,0,0,0,0,13828212,0,4166918493,0
1858784,0,0,0,0,116,0,3158188381,0
1868867,0,0,0,0,116,0,3158188381,0
1886865,0,0,0,0,116,0,3158191734,0
1900697,0,0,65536,0,30802007,0,106638966,0
1900834,0,0,65536,0,30802007,0,106638966,0
1910226,0,0,65536,0,30802007,0,106638966,0
1923281,0,0,0,0,105,0,3874893111,0
1929604,0,0,0,0,105,0,3874893111,0
1939923,0,0,0,0,105,0,3874893111,0
1952759,0,0,0,0,7012352,0,3517915182,0
1962666,0,0,0,0,7012352,0,3517915182,0
1979808,0,0,0,0,7012352,0,3517915182,0
1981500,0,0,0,0,7012354,0,3517919239,0
2002400,0,0,65536,0,2,0,54538247,0
2003895,0,0,65536,0,2,0,54538247,0
2011986,0,0,65536,0,2,0,54536883,0
2023655,0,0,0,0,2097273,0,3691653811,0
2032203,0,0,0,0,2097273,0,3691653811,0
2042450,0,0,0,0,2097273,0,3691653811,0
2054795,0,0,0,0,149,11,3421381843,0
2063991,0,0,0,0,149,11,3421381843,0
2073632,0,0,0,0,149,11,3421381843,0
2083758,0,0,0,0,4522161,0,121843947,0
2100368,0,0,65536,0,4522161,0,121843947,0
2119749,0,0,65536,0,4522161,0,121843947,0
2120087,0,0,65536,0,4522102,0,121841241,0
2124256,0,0,0,0,9306230,0,3390776921,0
2134614,0,0,0,0,9306230,0,3390776921,0
2145504,0,0,0,0,9306112,0,3390777016,0
2156644,0,0,0,0,0,0,3974112952,0
2169147,0,0,0,0,0,0,3974112952,0
2177666,0,0,0,0,0,0,3974112952,0
2186224,0,0,65536,0,43778048,0,71970600,0
2202282,0,0,65536,0,43778048,0,71970600,0
2208707,0,0,65536,0,43778048,0,71970600,0
2217256,0,0,0,0,5832704,0,3269993273,0
2226761,0,0,0,0,5832704,0,3269993273,0
2237072,0,0,0,0,5832704,0,3269993273,0
2247200,0,0,0,0,5832704,0,20000438,0
2260780,0,0,65536,0,26279936,0,20000438,0
2269132,0,0,65536,0,26279936,0,20000438,0
2278563,0,0,65536,0,26279936,0,20001086,0
2288662,0,0,65536,0,42729472,0,250884414,0
2304613,0,0,65536,0,42729472,0,250884414,0
