Timestamp,Reg1,Reg2,Reg3,Reg4,Reg5,Reg6,Reg7,Reg8
1741867680.143725,0,0,0,0,0,0,0,1582981017
1741867680.1562464,0,0,0,0,0,0,0,1582981017
1741867680.167923,0,0,0,0,0,0,0,1608343700
1741867680.1749299,0,0,0,0,0,0,0,1608343150
1741867680.1974933,0,0,0,0,0,0,0,1579441774
1741867680.1974933,0,0,0,0,0,0,0,1619419405
1741867680.2020977,0,0,0,0,0,0,0,1619419147
1741867680.2140994,0,0,0,0,0,0,0,1623810059
1741867680.22282,0,0,0,0,0,0,0,1577738061
1741867680.232572,0,0,0,0,0,0,0,1577738404
1741867680.242582,0,0,0,0,0,0,0,1623482532
1741867680.258181,0,0,0,0,0,0,0,1610506090
1741867680.2621837,0,0,0,0,0,0,0,1610506090
1741867680.279938,0,0,0,0,0,0,0,1620008829
1741867680.2826734,0,0,0,0,0,0,0,1614569433
1741867680.3041785,0,0,0,0,0,0,0,1614569433
1741867680.305179,0,0,0,0,0,0,0,1640063152
1741867680.3208592,0,0,0,0,0,0,0,1640063152
1741867680.322865,0,0,0,0,0,0,0,1613586608
1741867680.3445253,0,0,0,0,0,0,0,1649041789
1741867680.3445253,0,0,0,0,0,0,0,1649041580
1741867680.363061,0,0,0,0,0,0,0,1661755564
1741867680.3640635,0,0,0,0,0,0,0,1585340294
1741867680.3780324,0,0,0,0,0,0,0,1585340617
1741867680.3861215,0,0,0,0,0,0,0,1612144841
1741867680.4011717,0,0,0,0,0,0,0,1583046598
1741867680.4051707,0,0,0,0,0,0,0,1583046347
1741867680.4167883,0,0,0,0,0,0,0,1603624651
1741867680.4247868,0,0,0,0,0,0,0,1578654698
1741867680.445708,0,0,0,0,0,0,0,1578654698
1741867680.445708,0,0,0,0,0,0,0,1544969397
1741867680.467458,0,0,0,0,0,0,0,1544969590
1741867680.467458,0,0,0,0,0,0,0,1558338934
1741867680.4744554,0,0,0,0,0,0,0,1603296673
1741867680.4876254,0,0,0,0,0,0,0,1603296595
1741867680.4966257,0,0,0,0,0,0,0,1560567123
1741867680.5178392,0,0,0,0,0,0,0,1554210121
1741867680.5178392,0,0,0,0,0,0,0,1554210240
1741867680.5248377,0,0,0,0,0,0,0,1588223424
1741867680.5351765,0,0,0,0,0,0,0,1543265515
1741867680.5548067,0,0,0,0,0,0,0,1543266114
1741867680.5698075,0,0,0,0,0,0,0,1601658690
1741867680.5708072,0,0,0,0,0,0,0,1593728646
1741867680.575809,0,0,0,0,0,0,0,1593728646
1741867680.5867457,0,0,0,0,0,0,0,1554341258
1741867680.6022556,0,0,0,0,0,0,0,1554341527
1741867680.6160645,0,0,0,0,0,0,0,1610702487
1741867680.6170633,0,0,0,0,0,0,0,1575575017
1741867680.6260607,0,0,0,0,0,0,0,1575575559
1741867680.6375198,0,0,0,0,0,0,0,1623810055
1741867680.6587381,0,0,0,0,0,0,0,1604083626
1741867680.6901376,0,0,0,0,0,0,0,1604083549
1741867680.7174149,0,0,0,0,0,0,0,1595629405
1741867680.7174149,0,0,0,0,0,0,0,1595694990
1741867680.7174149,0,0,0,0,0,0,0,1595694921
1741867680.7174149,0,0,0,0,0,0,0,1589075785
