1742062966336467,13803,0,22499,0,28608,2467,28874,10196
1742062966336467,12339,0,21633,0,27985,2376,28953,10191
1742062966336467,13503,0,21436,0,28051,2405,29641,10173
1742062966336467,13086,0,21215,0,,,,
1742062966337686,27654,2302,29890,10182,14145,0,20603,0
1742062966347398,28124,2277,29772,10137,12695,0,20885,0
1742062966357110,28304,2110,29593,10163,12590,0,21305,0
1742062966366822,28477,2270,29324,10185,,,,
1742062966372310,14533,0,21954,0,28628,2195,29101,10206
1742062966386966,12633,0,21554,0,28271,2199,28894,10191
1742062966401622,13182,0,21913,0,28118,2213,28688,10205
1742062966416278,12122,0,21499,0,,,,
1742062966424171,27415,2129,28711,10204,13697,0,21641,0
1742062966443163,27132,2171,28678,10227,13107,0,22024,0
1742062966462155,26261,2179,28606,10208,13541,0,21940,0
1742062966481147,26623,2397,28631,10218,,,,
1742062966489881,13317,0,21886,0,27462,2393,28702,10211
1742062966502737,13305,0,22317,0,26830,2062,28583,10225
1742062966515593,12946,0,22518,0,26808,2468,28446,10232
1742062966528449,13645,0,22347,0,,,,
1742062966535474,26478,2410,28405,10236,14743,0,21968,0
1742062966552898,26764,2314,28393,10254,12921,0,22272,0
1742062966570322,26535,2381,28642,10213,12026,0,21841,0
1742062966587746,26007,2146,28259,10209,,,,
1742062966596330,13722,0,22455,0,26006,2251,28358,10240
1742062966612610,13587,0,22417,0,26486,2493,28549,10220
1742062966628890,13763,0,22115,0,25484,2232,28231,10217
1742062966645170,12593,0,22617,0,,,,
1742062966653326,26025,2197,27761,10240,14000,0,22930,0
1742062966669606,25185,1984,27453,10227,13182,0,22840,0
1742062966685886,25550,2472,27396,10285,12869,0,23263,0
1742062966702166,25537,2496,27314,10266,,,,
1742062966710131,14011,0,22976,0,25181,2284,27437,10235
1742062966724987,12690,0,22826,0,24844,2053,27434,10268
1742062966739843,13642,0,22488,0,25629,2499,28062,10252
1742062966754699,12929,0,22304,0,,,,
1742062966762439,24931,2222,28119,10230,13289,0,22070,0
1742062966779575,24990,1999,27832,10268,12953,0,22291,0
1742062966796711,25219,2406,28153,10283,14113,0,22510,0
1742062966813847,25498,2068,27910,10243,,,,
1742062966821796,13084,0,22169,0,26069,2294,28098,10248
1742062966833788,13842,0,22339,0,25718,2130,28449,10241
1742062966845780,12287,0,21404,0,25399,2164,28938,10220
1742062966857772,12569,0,20937,0,,,,
1742062966864747,25243,2391,29634,10195,13935,0,20748,0
1742062966884459,25447,2152,29366,10228,13194,0,21140,0
1742062966904171,25244,2416,29927,10208,13723,0,20910,0
1742062966923883,25017,2272,29697,10177,,,,
1742062966932923,13356,0,21302,0,25585,2259,28920,10223
1742062966945979,13371,0,21924,0,26012,2344,28538,10204
1742062966959035,13053,0,22811,0,26815,2479,27947,10229
1742062966972091,12367,0,23466,0,,,,
1742062966978935,26030,2231,27279,10252,14598,0,24810,0
1742062966994359,26586,2528,26640,10267,12702,0,25469,0
1742062967009783,25509,2277,26287,10276,12957,0,25719,0
1742062967025207,25038,2445,26154,10307,,,,
1742062967032927,14655,0,25443,0,24846,2195,26142,10261
1742062967048351,13105,0,25431,0,24414,2421,26563,10306
1742062967063775,12734,0,24753,0,23731,2334,26648,10279
1742062967079199,13077,0,24575,0,,,,
1742062967087322,24354,2304,26772,10280,13518,0,24303,0
1742062967105890,24633,2161,26522,10266,12786,0,24590,0
1742062967124458,24594,2292,26616,10280,13986,0,25219,0
1742062967143026,25458,2589,26722,10278,,,,
1742062967151368,14044,0,25565,0,25450,2458,26506,10264
1742062967162216,13612,0,25829,0,25171,2371,26032,10285
1742062967173064,12993,0,26080,0,25114,2534,25968,10310
1742062967183912,12659,0,25716,0,,,,
1742062967190492,24651,2273,25695,10320,14027,0,25666,0
1742062967210492,24212,2600,25767,10359,13399,0,25956,1
1742062967230492,24142,2318,25710,10308,13676,0,26197,0
1742062967250492,24157,2374,25135,10292,,,,
1742062967259756,13301,0,26602,0,23415,2349,24855,10317
1742062967273748,14007,0,27592,0,23660,2475,24265,10345
1742062967287740,13140,0,28430,0,23889,2604,23745,10350
1742062967301732,13220,0,28663,0,,,,
1742062967308956,23864,2343,23761,10361,14006,0,28686,0
1742062967324668,24011,2614,23981,10342,13228,0,28683,0
1742062967340380,23639,2364,23751,10361,13199,0,29211,0
1742062967356092,23528,2503,23310,10395,,,,
1742062967363814,14391,0,29180,0,23161,2722,23376,10392
1742062967378382,13577,0,29052,1,23388,2435,23223,10387
1742062967392950,12910,0,29498,0,23668,2617,23175,10382
1742062967407518,14357,0,30192,0,,,,
1742062967415379,23034,2381,22644,10366,14182,0,30275,0
1742062967434523,23322,2610,22603,10384,12898,0,30145,0
1742062967453667,23001,2602,22746,10398,13725,0,29951,0
1742062967472811,22778,2510,22908,10399,,,,
1742062967481680,14007,0,30034,0,23942,2736,23108,10384
1742062967495104,14000,0,30491,0,24228,2629,22692,10405
1742062967508528,12964,0,30836,0,24686,2723,22480,10418
1742062967521952,12934,0,30852,0,,,,
1742062967529075,25079,2544,22423,10407,14723,0,30887,0
1742062967545643,24916,2658,22581,10383,13568,0,29982,0
1742062967562211,24508,2716,23290,10393,13325,0,29022,0
1742062967578779,23869,2466,23845,10351,,,,
1742062967587621,13511,0,28846,0,23959,2620,24275,10378
1742062967608469,14213,0,28066,0,22709,2367,24808,10334
1742062967629317,12957,0,27375,0,23032,2272,24821,10317
1742062967650165,13772,0,27252,0,,,,
1742062967659207,23427,2165,24727,10363,12996,0,27328,0
1742062967668919,24522,2442,24936,10338,13785,0,27082,0
