Timestamp,Reg1,Reg2,Reg3,Reg4,Reg5,Reg6,Reg7,Reg8,Reg9,Reg10,Reg11,Reg12
307226,313201323,313791156,290459984,199691239,4294901760,4294901760,1561591808,2990800896,4294224338,987392,23828,45636
307364,313201323,313791156,290459984,199691239,4294901760,4294901760,1561591808,2990800896,4294223706,986877,23426,45260
321780,319492875,316478173,293605760,202968089,4294901760,4294901760,1535246336,2966159360,4294223706,986877,23426,45260
321881,319492875,316478173,293605760,202968089,4294901760,4294901760,1535246336,2966159360,4294223706,986877,23426,45260
321946,319492875,316478173,293605760,202968089,4294901760,4294901760,1535246336,2966159360,4294223706,986877,23426,45260
327747,319492875,316478173,293605760,202968089,4294901760,4294901760,1535246336,2966159360,4294223706,986877,23426,45260
333736,319492875,316478173,293605760,202968089,4294901760,4294901760,1535246336,2966159360,4294223706,986877,23426,45260
339372,319492868,316478181,291246428,201067516,4294901760,3600351232,853803008,2283601920,4294920079,775833,13028,34845
346405,319034116,317002469,291246428,201067516,4294901760,3600351232,853803008,2283601920,4294920079,775833,13028,34845
351535,319034116,317002469,291246428,201067516,4294901760,3600351232,853803008,2283601920,4294920079,775833,13028,34845
359402,319034116,317002469,291246428,201067516,4294901760,3600351232,853803008,2283601920,4294920079,775833,13028,34845
362858,319034116,317002469,291246428,201067516,4294901760,3600351232,853803008,2283601920,4294920079,775833,13028,34845
368741,319034116,317002469,291246428,201067516,4294901760,3600351232,853803008,2283601920,4294944688,724734,23412,45238
374627,330634165,325391205,299110868,207424605,4294901760,4294901760,1534328832,2964717568,4294944688,3215102,23412,45238
380394,330634165,325391205,299110868,207424605,4294901760,4294901760,1534328832,2964717568,4294944688,3215102,23412,45238
386381,330634165,325391205,299110868,207424605,4294901760,4294901760,1534328832,2964717568,4294944688,3215102,23412,45238
392097,330634165,325391205,299110868,207424605,4294901760,4294901760,1534328832,2964717568,4294944688,3215102,23412,45238
397943,330634165,325391205,299110868,207424605,4294901760,4294901760,1534328832,2964717568,4294944688,3215102,23412,45238
403950,330634003,325391090,292819316,201526275,4294901760,4294901760,1586561024,3017932800,4292783918,3216237,24209,46050
410272,320017171,317854450,292819316,201526275,4294901760,4294901760,1586561024,3017932800,4292783918,3216237,24209,46050
415994,320017171,317854450,292819316,201526275,4294901760,4294901760,1586561024,3017932800,4292783918,3216237,24209,46050
421938,320017171,317854450,292819316,201526275,4294901760,4294901760,1586561024,3017932800,4292783918,3216237,24209,46050
429744,320017171,317854450,292819316,201526275,4294901760,4294901760,1586561024,3017932800,4292783918,3216237,24209,46050
432962,320017171,317854450,292819316,201526275,4294901760,4294901760,1586561024,3017932800,4292783918,3213491,22089,43972
440612,313660082,313332397,289345855,199625702,4294901760,4294901760,1447624704,2881748992,4292779618,3213491,22089,43972
444386,313660082,313332397,289345855,199625702,4294901760,4294901760,1447624704,2881748992,4292779618,3213491,22089,43972
453144,313660082,313332397,289345855,199625702,4294901760,4294901760,1447624704,2881748992,4292779618,3213491,22089,43972
456222,313660082,313332397,289345855,199625702,4294901760,4294901760,1447624704,2881748992,4292779618,3213491,22089,43972
462214,313660082,313332397,289345855,199625702,4294901760,4294901760,1447624704,2881748992,4292779618,3213491,22089,43972
468276,313659986,313332325,286658838,195824556,4294901760,4294901760,1568079872,3001024512,4292783539,3215909,23927,45792
473949,307368530,308613733,286658838,195824556,4294901760,4294901760,1568079872,3001024512,4292783539,3215909,23927,45792
480193,307368530,308613733,286658838,195824556,4294901760,4294901760,1568079872,3001024512,4292783539,3215909,23927,45792
485577,307368530,308613733,286658838,195824556,4294901760,4294901760,1568079872,3001024512,4292783539,3215909,23927,45792
