Timestamp,Combined Value1,Combined Value2,Combined Value3,Combined Value4
1742724566149774,444428,0,479065,629
1742724566157830,444152,0,478656,638
1742724566165886,444771,0,479060,670
1742724566173960,444487,0,478810,652
1742724566182000,443886,16,478259,652
1742724566190040,442303,9,476958,625
1742724566198080,440364,0,474864,600
1742724566206120,439037,0,473203,606
1742724566214160,438567,2,472432,615
1742724566222200,437447,11,471489,635
1742724566230059,437015,0,470268,613
1742724566237311,437115,8,469453,635
1742724566244563,437385,0,468896,604
1742724566251815,438107,0,469152,608
1742724566259067,438823,0,469865,600
1742724566266319,439595,0,470658,612
1742724566273571,440943,18,471932,615
1742724566281114,441398,0,472441,611
1742724566289434,441234,13,472736,614
1742724566297754,440544,0,472264,635
1742724566306074,439829,0,471840,611
1742724566314394,439550,14,471174,646
1742724566322714,439131,0,470664,624
1742724566331034,439256,0,470398,628
1742724566339222,440077,22,471061,648
1742724566346938,441033,29,471962,657
1742724566354654,440736,0,472058,656
1742724566362370,440918,16,472182,638
1742724566370086,441433,0,472260,620
1742724566377802,441661,0,472193,624
1742724566385518,441054,2,471543,629
1742724566394861,439558,0,470369,628
1742724566409001,437949,97,469800,613
1742724566423141,436166,0,468044,615
1742724566437281,433852,0,465704,598
1742724566451421,431841,0,463710,588
1742724566465561,430493,0,462718,588
1742724566479701,430425,32,463319,584
1742724566490698,430830,0,464401,576
1742724566492222,431546,1,465808,599
1742724566493746,431779,7,466109,601
1742724566495270,431519,22,465927,568
1742724566496794,430948,0,465411,573
1742724566498318,429341,2,464195,574
1742724566499842,425568,14,461191,606
1742724566502939,419965,0,455197,556
1742724566510651,413455,87,447272,568
1742724566518363,406012,1,437274,497
1742724566526075,398745,20,427668,527
1742724566533787,392847,0,418981,479
1742724566541499,389747,0,413601,472
1742724566549211,390729,0,413418,501
1742724566557013,393895,0,416994,487
1742724566565009,396374,17,421365,503
1742724566573005,396698,0,422339,465
1742724566581001,395630,1,420983,489
1742724566588997,394668,1,418481,482
1742724566596993,394228,1,416634,453
1742724566604989,394003,0,415608,503
1742724566612932,392657,0,414076,457
1742724566620644,390406,0,411912,469
1742724566628356,388924,0,409381,478
1742724566636068,389167,1,408704,438
1742724566643780,389672,0,409081,452
1742724566651492,389694,0,409775,430
1742724566659204,389963,0,410541,478
1742724566667102,391105,0,412235,480
1742724566675530,392279,0,414636,509
1742724566683958,392085,0,415553,458
1742724566692386,391661,0,415656,478
1742724566700814,391671,0,415456,472
1742724566709242,391510,0,415207,474
1742724566717670,392128,0,416198,480
1742724566725830,392016,0,417560,448
1742724566733114,391781,3,418756,489
1742724566740398,390159,0,417481,479
1742724566747682,390004,0,416660,479
1742724566754966,389255,0,415454,462
1742724566762250,387564,0,413511,467
1742724566769534,386554,2,412116,487
1742724566777126,384320,0,409944,453
1742724566785550,381820,0,406492,490
1742724566793974,379587,0,403166,444
1742724566802398,378628,5,401655,450
1742724566810822,378737,0,401972,438
1742724566819246,379569,0,402894,441
1742724566827670,380697,0,403889,468
1742724566836132,381160,0,404246,456
1742724566844704,381029,0,404228,462
1742724566853276,380410,0,403554,452
1742724566861848,379261,0,402317,456
1742724566870420,377433,0,400524,439
1742724566878992,375530,8,398656,433
1742724566887564,373978,0,397268,438
1742724566895904,373594,0,396237,431
1742724566903472,373035,0,395756,454
1742724566911040,372816,6,395265,444
1742724566918608,372301,0,394144,419
1742724566926176,372664,0,393913,431
1742724566933744,372977,0,394075,439
1742724566941312,373549,0,394616,446
1742724566949679,374081,0,395091,431
1742724566960347,374434,0,395677,436
1742724566971015,374947,0,396167,434
1742724566981683,374770,0,396228,447
1742724566992351,374162,0,396143,409
1742724567003019,373450,0,395947,421
1742724567013687,373648,0,397066,451
1742724567022814,374047,0,397906,440
1742724567027246,374818,0,398629,481
1742724567031678,374946,0,398839,422
1742724567036110,375263,0,399707,430
1742724567040542,375776,0,400584,424
1742724567044974,376517,0,401506,447
1742724567049406,377694,4,402636,473
1742724567054540,377493,0,403622,444
1742724567061672,378397,0,404772,457
1742724567068804,378991,1,405678,438
1742724567075936,379626,0,406389,467
1742724567083068,380016,0,406942,432
1742724567090200,380096,0,407279,441
1742724567097332,380446,0,407609,465
1742724567104652,380572,0,408077,448
1742724567112508,381081,38,408769,486
1742724567120364,381419,0,408892,437
1742724567128220,382039,0,409422,454
1742724567136076,382615,0,409955,452
1742724567143932,383363,0,410586,447
1742724567151788,384169,0,411202,471
1742724567159830,384599,0,411685,453
1742724567168402,385257,5,411996,470
1742724567176974,385026,0,412326,452
1742724567185546,385272,0,412656,474
1742724567194118,385652,0,412949,484
1742724567202690,385704,0,412990,466
1742724567211262,386028,1,413306,479
1742724567219693,386172,0,413141,479
1742724567227693,385841,0,413406,460
1742724567235693,386621,0,413738,435
1742724567243693,386722,0,413752,509
1742724567251693,386535,0,413644,476
1742724567259693,386378,0,413482,485
1742724567267693,386403,0,413326,480
1742724567275462,385820,0,413072,472
1742724567282458,386087,3,413342,501
1742724567289454,386299,0,413445,476
1742724567296450,386610,0,413794,460
1742724567303446,386761,0,413988,470
1742724567310442,386933,0,414318,440
1742724567317438,386781,0,414597,484
1742724567324652,386806,0,414993,480
1742724567332508,387492,0,416030,474
1742724567340364,389662,0,417879,443
1742724567348220,390906,0,419404,473
1742724567356076,390810,0,418942,478
1742724567363932,390301,0,418124,475
1742724567371788,389951,0,417072,488
1742724567379827,387886,0,415605,467
1742724567388399,386673,0,414536,501
1742724567396971,386183,0,413603,471
1742724567405543,386375,0,413805,435
1742724567414115,388143,0,415273,471
1742724567422687,390132,0,417224,460
1742724567431259,391943,0,419471,497
1742724567439628,393592,0,421478,476
1742724567447340,393946,0,422272,526
1742724567455052,393895,0,422202,497
1742724567462764,393554,0,421920,501
1742724567470476,393164,0,421980,440
1742724567478188,392893,0,422339,468
1742724567485900,393326,0,422936,495
1742724567493582,393348,0,423385,456
1742724567501154,393688,4,424019,502
1742724567508726,393808,0,424203,486
1742724567516298,394120,0,424751,503
1742724567523870,395233,0,426097,485
1742724567531442,396281,0,427241,512
1742724567539014,397297,0,428234,519
1742724567546713,397853,0,429105,504
1742724567554709,398676,6,429655,486
1742724567562705,398583,0,429674,467
1742724567570701,398153,0,429238,490
1742724567578697,397615,0,428775,502
1742724567586693,397506,0,428964,504
1742724567594689,397279,0,428643,525
1742724567602623,396764,0,427851,488
1742724567610335,396305,0,427198,488
1742724567618047,395806,0,426518,468
1742724567625759,395444,0,425940,475
1742724567633471,395323,0,425872,469
1742724567641183,395478,0,426186,488
1742724567648895,395940,0,426699,482
1742724567657220,395466,0,426853,493
1742724567667364,395686,0,427033,517
1742724567677508,395508,0,427029,464
1742724567687652,395708,5,427269,488
1742724567697796,395586,0,427352,524
1742724567707940,395523,0,427594,480
1742724567718084,395455,0,427499,502
1742724567727125,395031,0,427183,506
1742724567732837,395068,0,426898,506
1742724567738549,394857,0,426933,489
1742724567744261,394860,0,427237,486
1742724567749973,395079,0,427569,488
1742724567755685,395072,5,427731,487
1742724567761397,395058,6,428050,497
1742724567767912,395455,0,428011,486
1742724567776768,395817,3,428273,507
1742724567785624,395434,0,428304,485
1742724567794480,395437,0,428415,484
1742724567803336,395493,0,428526,495
1742724567812192,395512,0,428635,476
1742724567821048,395361,0,428508,490
1742724567829383,395274,0,428245,480
1742724567836095,395183,18,428381,522
1742724567842807,394881,0,428128,498
1742724567849519,395184,0,428425,496
1742724567856231,395550,0,428710,477
1742724567862943,395818,0,429058,483
1742724567869655,396136,4,429496,522
1742724567876772,396628,0,429902,515
1742724567885056,396305,7,430549,513
1742724567893340,397029,0,430980,506
1742724567901624,397360,0,431508,483
1742724567909908,397498,0,431738,481
1742724567918192,397518,0,431801,505
1742724567926476,397699,0,431887,539
1742724567934608,397321,0,431818,490
1742724567942256,397114,6,431981,524
1742724567949904,397624,5,432342,494
1742724567957552,398326,0,433058,480
1742724567965200,400164,0,434908,521
1742724567972848,400328,1,435155,499
1742724567980496,399715,2,434175,514
1742724567988312,399018,0,433268,473
1742724567996616,398032,0,432282,534
1742724568004920,396905,0,431997,476
1742724568013224,396322,0,431785,483
1742724568021528,396209,0,431808,514
1742724568029832,397050,0,432692,499
1742724568038136,398678,0,434343,524
1742724568046130,400677,0,436103,528
1742724568053106,401645,10,437798,543
1742724568060082,402224,0,438339,535
1742724568067058,401966,0,438035,522
1742724568074034,401295,0,437096,500
1742724568081010,400494,0,436378,518
1742724568087986,400213,0,436242,554
1742724568095276,399432,0,435923,507
1742724568103424,399211,0,435975,571
1742724568111572,399071,0,435939,513
1742724568119720,399372,0,436004,500
1742724568127868,399811,0,436372,517
1742724568136016,400310,0,436859,505
1742724568144164,400842,0,437469,547
1742724568152192,401619,5,437973,504
1742724568159860,401931,9,438654,541
1742724568167528,401978,0,438579,499
1742724568175196,402009,0,438673,511
1742724568182864,401422,0,438114,498
1742724568190532,400458,0,437094,494
1742724568198200,399418,0,436261,521
1742724568205993,398479,0,435433,512
1742724568214101,396659,0,433855,540
1742724568222209,395415,0,431690,499
1742724568230317,394278,0,430248,495
1742724568238425,393963,0,430064,481
1742724568246533,394466,0,430697,498
1742724568254641,394876,0,430986,530
1742724568262686,394859,0,430809,501
