Timestamp,CH1_SLOTA,CH2_SLOTA,CH3_SLOTA,CH4_SLOTA,CH1_SLOTB,CH2_SLOTB,CH3_SLOTB,CH4_SLOTB
4040,214171648,30801920,3254,1161,1455161344,1614741504,5513,39206
10755,214171648,30801920,3254,1161,1455161344,1614741504,5513,39206
17480,214171648,30801920,3254,1161,1455161344,1614741504,5513,39206
24190,214171648,30801920,3254,1161,1455161344,1614741504,5513,39206
31884,212074496,27525120,3216,1177,1450835968,1610678272,5466,39196
37683,212074496,27525120,3216,1177,1450835968,1610678272,5466,39196
45649,212074496,27525120,3216,1177,1450835968,1610678272,5466,39196
51251,212074496,27525120,3216,1177,1450835968,1610678272,5466,39196
59653,213450752,30801920,3216,1177,1445789696,1606877184,5384,39150
70073,213450752,30801920,3259,1208,1445789696,1606877184,5384,39150
77706,213450752,30801920,3259,1208,1445789696,1606877184,5384,39150
78893,213450752,30801920,3259,1208,1445789696,1606877184,5384,39150
85601,213450752,30801920,3259,1208,1445789696,1606877184,5384,39150
92288,213975040,29229056,3249,1159,1444478976,1606221824,5361,39100
99106,213975040,29229056,3249,1159,1444478976,1606221824,5361,39100
106963,213975040,29229056,3249,1159,1444478976,1606221824,5361,39100
113261,213975040,29229056,3249,1159,1444478976,1606221824,5361,39100
119271,213975040,29229056,3249,1159,1444478976,1606221824,5361,39100
128359,216530944,30343168,3278,1185,1448214528,1609302016,5430,39129
133888,216530944,30343168,3278,1185,1448214528,1609302016,5430,39129
139493,216530944,30343168,3278,1185,1448214528,1609302016,5430,39129
147170,216530944,30343168,3278,1185,1448214528,1609302016,5430,39129
153142,216530944,30343168,3278,1185,1448214528,1609302016,5430,39129
161907,214761472,30146560,3258,1162,1451819008,1611661312,5493,39168
166930,214761472,30146560,3258,1162,1451819008,1611661312,5493,39168
179052,214761472,30146560,3258,1162,1451819008,1611661312,5493,39168
180674,214761472,30146560,3258,1162,1451819008,1611661312,5493,39168
188092,212729856,28377088,3256,1162,1451491328,1611268096,5503,39191
196148,212729856,28377088,3256,1162,1451491328,1611268096,5503,39191
200825,212729856,28377088,3256,1162,1451491328,1611268096,5503,39191
207569,212729856,28377088,3256,1162,1451491328,1611268096,5503,39191
216393,212729856,28377088,3256,1162,1451491328,1611268096,5503,39191
221197,214237184,28770304,3237,1153,1450508288,1609760768,5432,39182
230326,214237184,28770304,3237,1153,1450508288,1609760768,5432,39182
235460,214237184,28770304,3237,1153,1450508288,1609760768,5432,39182
242526,214237184,28770304,3237,1153,1450508288,1609760768,5432,39182
